,latitude,longitude,brightness
592,-31.2899,152.7431,318.2
593,-31.3448,152.309,340.1
594,-31.3463,152.2984,350.5
595,-31.3479,152.2879,343.5
596,-31.3373,152.2966,337.3
597,-31.3389,152.2861,356.7
598,-31.3435,152.2545,319.1
599,-31.3481,152.2232,328.7
600,-31.3391,152.2213,335.9
601,-31.3406,152.2109,326.3
602,-31.2626,152.5521,332.0
603,-31.2642,152.5414,322.5
604,-31.3151,152.195,326.5
605,-31.3167,152.1845,347.2
606,-31.3182,152.174,338.7
607,-31.2542,152.5557,335.4
608,-31.2558,152.545,331.6
609,-31.2592,152.4591,331.4
610,-31.2393,152.531,337.9
611,-31.2408,152.5205,349.5
612,-31.2424,152.5099,354.8
613,-31.2439,152.4994,343.0
614,-31.2455,152.4888,341.9
615,-31.2502,152.4572,338.9
616,-31.2517,152.4466,411.5
617,-31.2548,152.4257,330.9
618,-31.2976,152.1318,360.7
619,-31.3052,152.0795,324.2
620,-31.3067,152.069,325.6
621,-31.2334,152.50799999999998,346.6
622,-31.2349,152.4976,341.5
623,-31.2365,152.4869,390.5
624,-31.2381,152.4763,351.7
625,-31.2396,152.4658,333.3
626,-31.2427,152.4448,359.9
627,-31.2443,152.4342,380.9
628,-31.2458,152.4238,362.8
629,-31.2917,152.1091,340.3
630,-31.2932,152.0986,356.1
631,-31.2962,152.0777,325.3
632,-31.2977,152.0672,404.4
633,-31.2993,152.0567,380.0
634,-31.3008,152.0463,376.0
635,-31.3023,152.0358,354.1
636,-31.2181,152.5484,326.8
637,-31.2244,152.506,356.3
638,-31.2291,152.4745,342.2
639,-31.2306,152.464,335.8
640,-31.2322,152.4534,347.8
641,-31.2337,152.4429,361.6
642,-31.2353,152.4324,348.8
643,-31.2873,152.0759,327.1
644,-31.2888,152.0654,398.2
645,-31.2903,152.0549,397.0
646,-31.2918,152.0445,361.8
647,-31.2933,152.034,373.8
648,-31.2948,152.0235,403.7
649,-31.2963,152.0131,340.2
650,-31.2091,152.5464,343.3
651,-31.2107,152.5358,361.8
652,-31.2138,152.5146,342.5
653,-31.2154,152.5042,334.2
654,-31.234,152.378,334.5
655,-31.2843,152.0322,336.8
656,-31.2858,152.0218,351.9
657,-31.2873,152.0113,340.2
658,-31.2002,152.5444,368.0
659,-31.2017,152.5337,499.5
660,-31.2033,152.5232,410.1
661,-31.2141,152.4499,342.2
662,-31.2235,152.3866,339.9
663,-31.225,152.3761,371.5
664,-31.2265,152.3657,338.3
665,-31.2281,152.3552,330.1
666,-31.2768,152.02,333.9
667,-31.2783,152.0095,333.9
668,-31.1911,152.5426,337.0
669,-31.1927,152.532,486.2
670,-31.1943,152.5213,416.5
671,-31.2036,152.4586,345.5
672,-31.2052,152.44799999999998,391.0
673,-31.2067,152.4375,353.1
674,-31.2176,152.3638,323.7
675,-31.1837,152.5303,348.0
676,-31.1853,152.5197,338.8
677,-31.1993,152.425,334.0
678,-31.1684,152.5708,422.9
679,-31.1699,152.5603,367.8
680,-31.1715,152.5497,399.6
681,-31.1731,152.5391,330.7
682,-31.1918,152.4127,339.8
683,-31.1605,152.5625,388.5
684,-31.162,152.5519,425.5
685,-31.1636,152.5412,400.8
686,-31.1652,152.5307,357.3
687,-31.1483,152.5818,374.9
688,-31.1499,152.5712,401.0
689,-31.1515,152.5606,343.1
690,-31.153000000000002,152.5501,340.9
691,-31.1546,152.5395,361.1
692,-31.1561,152.5289,373.4
693,-31.1686,152.4444,320.7
694,-31.1701,152.4339,324.6
695,-31.1393,152.58,363.5
696,-31.1409,152.5694,373.5
697,-31.1456,152.5377,325.6
698,-31.1471,152.5272,330.0
699,-31.1781,152.3167,338.8
700,-31.1303,152.5781,321.3
701,-31.1319,152.5676,334.5
702,-31.1722,152.29399999999998,342.7
703,-31.125999999999998,152.5446,328.5
704,-31.1632,152.2922,330.7
705,-31.0958,152.5602,327.7
706,-31.0974,152.5497,352.5
707,-31.0989,152.5391,353.1
708,-31.0868,152.5583,374.0
709,-31.0884,152.5477,340.5
710,-31.0899,152.5372,332.4
711,-31.0977,152.4846,360.2
712,-31.0993,152.474,347.7
713,-31.0762,152.5671,338.8
714,-31.0778,152.5565,369.7
715,-31.0794,152.5459,325.5
716,-31.0872,152.4933,349.7
717,-31.0887,152.4828,414.8
718,-31.0903,152.4722,357.1
719,-31.1517,152.0532,357.9
720,-31.1532,152.0428,445.5
721,-31.1548,152.0323,390.1
722,-31.0694,152.56,328.7
723,-31.0787,152.4967,322.8
724,-31.0803,152.4863,342.7
725,-31.0818,152.4758,342.4
726,-31.1248,152.1819,323.9
727,-31.143,152.0565,342.2
728,-31.1445,152.0461,355.7
729,-31.146,152.0356,342.0
730,-31.1325,152.0651,371.9
731,-31.134,152.0547,422.2
732,-31.1355,152.0443,379.0
733,-31.1235,152.0633,373.3
734,-31.125,152.0529,341.0
735,-31.0455,152.5333,332.5
736,-31.1085,152.1033,322.1
737,-31.113000000000003,152.072,343.4
738,-31.1145,152.0616,371.4
739,-31.0365,152.5314,338.7
740,-31.104,152.0702,353.3
741,-31.1056,152.0598,342.2
742,-31.018,152.593,340.7
743,-31.0196,152.5824,353.1
744,-31.0951,152.0685,348.1
745,-31.0966,152.058,343.2
746,-31.0996,152.0372,332.3
747,-31.1011,152.0267,359.8
748,-31.009,152.5912,444.5
749,-31.0106,152.5805,496.4
750,-31.0121,152.5699,381.8
751,-31.0137,152.5595,327.5
752,-31.0153,152.5488,342.0
753,-31.0169,152.5382,366.4
754,-31.0184,152.5279,352.5
755,-31.0215,152.5068,356.5
756,-31.0846,152.0771,341.7
757,-31.0876,152.0563,348.5
758,-31.0891,152.0459,331.4
759,-31.0906,152.0354,324.4
760,-31.0921,152.0249,353.6
761,-31.0936,152.0145,368.4
762,-31.0951,152.0041,341.1
763,-30.9984,152.5999,376.6
764,-30.9999,152.5894,397.1
765,-31.0015,152.5787,423.9
766,-31.0031,152.5682,422.8
767,-31.0047,152.5576,356.6
768,-31.0063,152.547,339.7
769,-31.0125,152.5051,343.4
770,-31.0141,152.4946,352.1
771,-31.0831,152.0231,337.2
