latitude,longitude,frp
-31.6396,152.3052,48.4
-31.6389,152.3298,36.2
-31.6387,152.2699,22.4
-31.636999999999997,152.2909,12.3
-31.6362,152.3156,29.9
-31.6337,152.3021,15.7
-31.6244,151.7722,48.8
-31.624000000000002,151.8143,32.8
-31.6233,151.8267,21.3
-31.6229,151.7827,22.1
-31.6214,151.7932,241.6
-31.6205,151.8114,31.5
-31.6199,151.8037,425.8
-31.6177,151.7966,25.6
-31.6163,151.7867,44.1
-31.6148,151.781,18.8
-31.6141,152.2956,8.1
-31.6139,151.781,97.0
-31.6128,151.8308,27.6
-31.6124,151.7915,139.5
-31.6116,151.8099,47.1
-31.6109,151.80200000000002,9.5
-31.6097,151.8143,218.6
-31.6068,151.799,56.7
-31.6055,152.2993,8.2
-31.6049,151.7792,58.6
-31.6048,151.77700000000002,13.5
-31.604,151.7836,10.1
-31.6038,151.7832,22.4
-31.6034,151.7897,119.5
-31.6003,151.7997,15.9
-31.5961,151.8024,23.7
-31.593000000000004,151.786,69.6
-31.5612,147.4471,9.0
-31.5536,147.4324,12.2
-31.5128,152.3551,13.9
-31.5113,152.3657,32.3
-31.5054,152.3746,11.7
-31.5023,152.3638,27.7
-31.5007,152.3744,19.6
-31.4999,152.2149,14.0
-31.4994,152.3199,18.8
-31.4989,152.2338,54.2
-31.4979,152.3303,64.0
-31.4964,152.3409,12.8
-31.4948,152.2391,101.9
-31.4945,152.2554,38.4
-31.4938,152.2586,60.6
-31.4927,152.3142,21.8
-31.4918,152.2408,47.2
-31.491,152.2053,39.3
-31.4909,123.8056,15.7
-31.4905,152.31799999999998,33.6
-31.4896,152.2637,50.6
-31.4891,152.226,39.7
-31.4891,152.2637,21.6
-31.4889,152.3285,44.5
-31.4881,152.2147,244.0
-31.487,152.2109,65.2
-31.4868,152.2732,16.2
-31.4866,152.2252,88.7
-31.4864,152.2113,25.9
-31.4859,152.2301,62.1
-31.484,152.2581,24.9
-31.4819,152.2352,39.2
-31.4815,152.3163,81.2
-31.4813,152.2436,16.6
-31.4806,152.2024,60.8
-31.4799,152.3268,68.7
-31.4791,152.2129,67.0
-31.479,152.2778,17.4
-31.4789,152.2904,13.4
-31.4786,152.2289,19.1
-31.4781,152.2013,27.8
-31.4776,152.2234,130.1
-31.4774,152.2883,55.6
-31.4761,152.2339,9.7
-31.4759,152.2988,60.6
-31.4758,152.2141,26.6
-31.4743,152.4432,7.9
-31.4732,152.1901,29.1
-31.4732,152.1996,19.8
-31.4716,152.2006,54.3
-31.4694,152.4502,8.9
-31.4657,152.1777,25.9
-31.4642,152.1882,71.6
-31.4626,152.2023,16.0
-31.4599,152.1878,9.9
-31.4524,123.7054,14.4
-31.4502,123.7268,33.7
-31.45,123.7192,13.7
-31.4456,152.3793,20.6
-31.4441,152.3899,32.9
-31.4397,152.3565,35.2
-31.4382,152.36700000000002,29.5
-31.4372,152.1829,15.3
-31.4366,152.3775,26.6
-31.4352,152.3825,13.8
-31.4325,152.3676,10.1
-31.4291,152.3706,19.2
-31.4133,152.1565,9.9
-31.4059,152.1533,60.9
-31.4052,152.1482,35.4
-31.4044,152.1745,18.8
-31.4036,152.1586,25.9
-31.4001,152.1807,26.5
-31.3974,152.1756,25.9
-31.3973,123.6576,39.0
-31.3966,152.1457,54.0
-31.3966,152.5864,33.1
-31.395,152.597,13.4
-31.3947,152.1612,34.0
-31.393,152.5969,27.1
-31.3916,152.1779,20.5
-31.3912,152.1721,44.6
-31.3902,123.6554,9.2
-31.3872,123.656,22.6
-31.3848,152.5405,19.1
-31.3801,152.5722,20.9
-31.3789,152.5176,29.1
-31.3774,152.5282,10.8
-31.3738,152.3229,15.3
-31.3718,152.4402,36.2
-31.3703,152.4507,33.1
-31.3698,152.5283,6.7
-31.3696,152.5809,5.5
-31.3671,152.4718,11.8
-31.366999999999997,152.4526,12.8
-31.3656,152.4823,34.0
-31.3655,123.6661,18.8
-31.3644,152.3684,38.5
-31.3641,152.3668,107.3
-31.3637,152.5579,46.2
-31.3626,152.3773,82.9
-31.3623,152.4423,70.0
-31.3621,152.5683,46.7
-31.3609,152.3182,32.6
-31.3608,152.4529,279.4
-31.3606,152.5789,27.2
-31.3592,152.3722,59.1
-31.3584,152.3244,27.1
-31.3582,152.3441,13.3
-31.3569,152.577,17.6
-31.3566,152.3546,10.3
-31.3554,123.6645,18.4
-31.3551,152.365,28.3
-31.3547,152.556,55.5
-31.3542,152.3956,36.7
-31.354,152.3808,27.6
-31.3536,152.3755,28.7
-31.3535,152.3171,28.0
-31.3533,152.4404,9.0
-31.3531,152.5665,83.4
-31.351999999999997,152.386,39.6
-31.3518,152.451,22.3
-31.3515,152.5771,70.3
-31.3512,152.3649,26.5
-31.3505,152.3965,10.1
-31.3481,152.2232,17.0
-31.3479,152.2879,39.9
-31.3478,152.3146,27.6
-31.3465,152.3874,22.6
-31.3463,152.2984,51.8
-31.3463,152.5786,32.7
-31.3448,152.309,30.2
-31.3435,152.2545,8.0
-31.3421,152.2096,35.8
-31.3406,152.2109,13.9
-31.3404,152.2837,18.9
-31.3403,152.3053,18.9
-31.3391,152.2213,26.3
-31.3391,152.2215,17.8
-31.3389,152.2861,68.1
-31.3375,152.2296,10.8
-31.3373,152.2966,27.0
-31.3346,152.2132,15.7
-31.3184,152.1857,5.8
-31.3182,152.174,32.3
-31.3167,152.1845,46.2
-31.3156,152.1706,6.8
-31.3151,152.195,12.5
-31.3129,152.1682,23.9
-31.3107,152.791,11.9
-31.3091,152.8017,7.6
-31.3086,152.173,23.0
-31.3067,152.069,15.8
-31.3053,152.1748,24.1
-31.3052,152.0795,13.8
-31.304000000000002,152.8014,10.0
-31.3026,152.1605,18.8
-31.3024,152.0862,78.4
-31.3023,152.0358,62.6
-31.3021,152.097,35.7
-31.3008,152.0463,128.2
-31.2994,152.0821,25.8
-31.2993,152.0567,142.7
-31.2977,152.0672,269.7
-31.2976,152.1318,80.6
-31.2963,152.0131,32.2
-31.2962,152.0777,13.0
-31.2948,152.0235,264.6
-31.2946,152.1169,12.6
